committeeType	meetingNumber	place	agendaUrl	minutesUrl	createdAt
governor	1	Board Room, National Institute of Technology, Kurukshetra	https://nitkkr.ac.in/wp-content/uploads/2021/12/1st-BoG-Agenda.pdf	https://nitkkr.ac.in/wp-content/uploads/2021/12/1st-BOG-Minutes-held-on-19.10.2002.1509684883.pdf	2002-10-19T11:30:00.000Z
governor	2	Board Room, National Institute of Technology, Kurukshetra	https://nitkkr.ac.in/wp-content/uploads/2021/12/2nd-Bog-Agenda-1.pdf	https://nitkkr.ac.in/wp-content/uploads/2021/12/2nd-BOG-Minutes-held-on-19.04.2003.1509684915.pdf	2003-04-19T11:30:00.000Z
governor	3	Board Room, National Institute of Technology, Kurukshetra	https://nitkkr.ac.in/wp-content/uploads/2021/12/3rd-BoG-Agenda.pdf	https://nitkkr.ac.in/wp-content/uploads/2021/12/3rd-BOG-Minutes-held-on-06.10.2003.1509684986.pdf	2003-06-10T15:30:00.000Z
financial	1	Board Room, National Institute of Technology, Kurukshetra	https://nitkkr.ac.in/wp-content/uploads/2021/12/AGENDA-1st-FC-MEETING.pdf	https://nitkkr.ac.in/wp-content/uploads/2021/12/MINUTES-1st-FC-MEETING.pdf	2002-11-08T14:00:00.000Z
financial	2	Board Room, National Institute of Technology, Kurukshetra	https://nitkkr.ac.in/wp-content/uploads/2021/12/AGENDA-2nd-FC-MEETING.pdf	https://nitkkr.ac.in/wp-content/uploads/2021/12/MINUTES-2nd-FC-MEETING.pdf	2003-09-10T10:30:00.000Z
financial	3	Board Room, National Institute of Technology, Kurukshetra	https://nitkkr.ac.in/wp-content/uploads/2021/12/AGENDA-20th-FC-MEETING.pdf	https://nitkkr.ac.in/wp-content/uploads/2021/12/MINUTES-3rd-FC-MEETING.pdf	2004-05-24T15:30:00.000Z
