sponsoredResearchProjectId	facultyName
85	Dr. Karandeep Singh (PI)
85	Dr. Brahmjit Singh (Co-PI)
85	Dr. Deepa Venkitesh (IIT Madras), Electronics and Comm. Engg.
86	Dr. Yashashchandra Dwivedi, Physics
87	Dr. Praveen Aggarwal (PI)
87	Mr. Manu Pratap Singh, M.Tech (TE), Civil Engg. Deptt. NIT Kurukshetra
88	Dr. Ankit Kumar Jain (PI)
88	Mr. Rohit Kumar, B.Tech, Computer Engg. Deptt. NIT Kurukshetra
89	Dr. Brahmjit Singh, Electronics and Comm. Engg.
90	Dr. Jitender Kumar Chhabra, Computer Engg.
91	Dr. Jitender Kumar Chhabra, Computer Engg.
92	Dr. Geeta Sachdeva (PI), HuSS NIT KKR
92	Dr. Mahabir Narwal (Co-PI), KUK
93	Dr. Rajesh Kumar, Mechanical Engg.
